Price;Close;High;Low;Open;Volume
Ticker;IBM;IBM;IBM;IBM;IBM
Date;;;;;
2000-01-03;56.67101287841797;56.671012878417976;54.65577533267617;54.930578325962244;10823694
2000-01-04;54.74736022949219;55.93818454641552;54.16721554929149;55.69391269172647;8606279
2000-01-05;56.67101287841797;58.50305232738004;54.777911295940314;55.17485025249052;13318927
2000-01-06;55.69394302368164;58.10612402902561;55.449671035957536;57.64811502672923;8338607
2000-01-07;55.449676513671875;57.61758574545326;54.04511439487824;57.281712703839;12402108
2000-01-10;57.648109436035156;58.31985538775812;56.36568357422546;57.281701489983114;8933363
2000-01-11;58.136634826660156;59.17478839340957;56.97634531683766;57.5870250322031;8235472
2000-01-12;58.38090515136719;59.60226065068837;57.77022545233482;58.44197117189864;7116775
2000-01-13;57.77023696899414;59.11373257469499;56.54887732744791;58.59465375235176;8880226
2000-01-14;58.4420051574707;60.243510342553236;57.40385101477335;59.08322018902409;11460604
2000-01-18;56.54887390136719;58.50304920944512;56.18246992984668;58.47251424557037;7995519
2000-01-19;58.38090515136719;59.60226065068837;55.05270371569843;56.45726507410111;9031687
2000-01-20;58.136634826660156;60.94575761859752;58.13663482666016;60.090806017085896;18601436
2000-01-21;59.3580207824707;60.09083286963435;58.594669822462414;59.54122282957526;8230660
2000-01-24;59.3580207824707;60.0297668201813;56.94583580353975;59.54122282957526;6798163
2000-01-25;58.197696685791016;58.38090253666729;56.670999455957904;57.03740725896706;7255997
2000-01-26;57.037437438964844;58.594670451040564;56.67102944207966;58.16719640404723;5120275
2000-01-27;55.449676513671875;57.8618577573083;54.53365841858832;57.64812072162156;8707532
2000-01-28;54.503108978271484;55.785534750804786;53.77029313718256;55.08325387778073;6976192
2000-01-31;54.83897018432617;55.113777040557466;53.55654468648648;54.41149631796088;6488024
2000-02-01;53.73978042602539;55.419149782696884;53.31230629105283;54.90007070559056;7640716
2000-02-02;55.449676513671875;56.57943164444218;53.92297838895072;54.71686047810676;8062254
2000-02-03;57.22062301635742;57.40382500020777;55.72445658702198;56.18246934413598;6499635
2000-02-04;56.4878044128418;57.8618309181256;56.09086160301267;57.73969496885078;5653944
2000-02-07;55.754981994628906;57.09847727466221;55.26643825643498;56.67099955437082;6045357
2000-02-08;58.10612869262695;58.19782608914714;56.82235343280253;57.18914301888328;5715658
2000-02-09;57.40312957763672;58.56464076127778;57.21973081541258;58.19784713967818;5621936
2000-02-10;58.25897216796875;58.25897216796875;57.158595305944885;57.55595209945693;4651144
2000-02-11;56.424983978271484;58.41177880398631;56.02762345198986;58.22838403976196;6013872
2000-02-14;56.76126480102539;56.9140965198168;55.99711401276914;56.73069767669703;4753024
2000-02-15;57.28084945678711;57.43367716374816;55.69141086218073;56.66952692040004;5415665
2000-02-16;56.608375549316406;57.3725294637888;56.363846608912965;56.97516895992159;4149377
2000-02-17;57.09748458862305;58.13673156506437;56.60842626962714;56.97522000887407;5478425
2000-02-18;55.018951416015625;56.70008721347025;54.52989344563995;56.363856931701605;8026376
2000-02-22;54.285369873046875;55.47744781898353;53.18499323283422;54.77442789218474;8006921
2000-02-23;53.18498229980469;54.04082975451518;53.06271782015365;54.04082975451518;7777324
2000-02-24;54.04084396362305;54.28537298721981;52.909900156623884;53.215559484695945;9531152
2000-02-25;52.81819534301758;53.73517710151446;51.320454307768976;53.73517710151446;10786561
2000-02-28;51.10649108886719;52.084607020680934;50.831398910179914;51.16762528602911;8869975
2000-02-29;50.25065612792969;51.62612907415583;49.364237367162026;51.62612907415583;10967205
2000-03-01;49.02803421020508;51.59558649132493;48.93633675077579;49.88388627152834;11304959
2000-03-02;50.434051513671875;51.56499542816889;48.661217875508896;49.15027596918808;11707773
2000-03-03;52.81819534301758;53.796307397418886;51.870646485144874;52.45140185904938;10630289
2000-03-06;50.403499603271484;54.28539451364355;49.394819908087115;53.76577305958468;11241780
2000-03-07;50.372920989990234;52.32915350798687;49.7310351221589;51.8400953784877;10496715
2000-03-08;51.96236038208008;52.2680197643647;50.250660816159;50.37292144679408;8761714
2000-03-09;52.81819534301758;52.81819534301758;50.92309762727217;52.08460837508119;6625469
2000-03-10;51.473297119140625;53.307261035801744;51.35103259784002;52.634808120072414;7419487
2000-03-13;52.665374755859375;53.30726055982012;50.12839084008453;50.861974058489956;8233066
2000-03-14;53.123870849609375;53.79632382412766;52.51254818966166;52.695946939070176;8340490
2000-03-15;52.329158782958984;52.940481506456514;51.9012309250863;52.57368787235799;5926531
2000-03-16;53.3072509765625;53.704611571518356;52.757062685955965;53.30725097656249;6927135
2000-03-17;53.79632568359375;54.621610327336974;52.66538165073578;52.94047783293304;9264736
2000-03-20;55.1412353515625;55.446894739400086;53.765762252020615;53.79632545881041;6865421
2000-03-21;55.508026123046875;56.088781662264324;54.743871838217004;55.17179964274713;7083094
2000-03-22;55.87481689453125;56.42500529793452;55.69141815816475;55.997081417826216;6420139
2000-03-23;56.36386489868164;56.66952812479523;54.5910353597527;56.66952812479523;6791050
2000-03-24;58.992549896240234;59.78726725882987;56.272167479252914;56.42499909227513;12683378
2000-03-27;62.04916000366211;62.72161287010271;60.94877939261113;61.132178112543514;12408593
